accident_ymd,기타,분만,소화기,신경계,심혈관,외상,체온,출혈,통증,호흡기
20201026,125,0,17,135,73,75,28,2,439,51
20201027,118,2,8,119,65,80,25,8,433,37
20201028,133,1,8,113,59,73,17,4,388,29
20201029,119,1,8,119,66,89,29,3,424,25
20201030,122,0,18,113,64,81,24,15,447,33
20201031,133,0,9,112,67,105,30,7,438,25
20201101,99,0,23,110,58,79,31,5,373,38
20201102,126,1,9,128,59,75,37,5,418,35
20201103,111,2,6,102,55,90,24,5,395,43
20201104,127,1,11,105,41,71,25,6,333,29
20201105,125,0,13,108,67,86,27,12,374,26
20201106,134,2,8,129,61,76,29,7,369,30
20201107,124,0,10,104,68,107,32,8,346,31
20201108,113,0,13,102,67,101,35,2,394,37
20201109,149,0,11,134,78,61,24,16,410,42
20201110,132,0,11,131,71,85,38,10,346,31
20201111,122,0,13,121,62,87,37,6,361,31
20201112,135,1,13,112,64,80,33,9,377,33
20201113,120,0,10,123,51,99,27,7,416,28
20201114,138,1,8,115,57,100,30,11,408,22
20201115,131,0,12,116,54,102,24,5,363,28
20201116,156,0,7,138,61,80,34,8,446,39
20201117,132,2,15,155,43,82,31,9,386,34
20201118,146,1,10,125,60,75,25,8,383,29
20201119,154,1,7,108,70,77,26,4,396,23
20201120,152,0,14,117,65,78,30,11,396,37
20201121,136,1,15,117,50,104,29,10,384,17
20201122,122,1,18,94,62,77,22,11,339,32
20201123,143,0,10,129,63,82,27,7,433,30
20201124,139,1,16,103,48,77,26,7,407,35
20201125,153,2,13,105,47,83,39,6,352,24
20201126,156,2,11,117,58,61,29,7,347,26
20201127,168,0,9,106,62,61,29,8,357,39
20201128,145,1,15,111,60,77,28,3,325,23
20201129,158,0,10,90,57,59,24,4,342,23
20201130,157,0,14,112,61,73,28,12,376,40
20201201,163,0,10,120,66,61,39,8,361,31
20201202,144,0,7,106,60,73,34,8,343,34
20201203,133,2,12,107,65,50,26,9,322,33
20201204,154,1,14,96,38,78,30,5,344,31
20201205,162,0,13,94,53,67,41,7,318,14
20201206,126,1,12,83,52,81,32,6,305,35
20201207,168,1,11,109,58,66,36,11,398,41
20201208,151,3,7,116,59,66,24,10,317,41
20201209,160,1,17,97,55,54,27,6,359,38
20201210,146,0,5,91,53,56,34,9,305,39
20201211,161,0,7,95,60,60,26,5,353,32
20201212,138,1,9,92,55,74,33,6,304,40
20201213,160,0,7,77,32,74,23,3,292,30
20201214,159,1,11,97,76,48,19,6,331,34
20201215,153,0,22,84,68,66,26,7,333,33
20201216,156,1,16,105,66,66,24,6,286,36
20201217,143,0,7,102,66,61,38,3,303,20
20201218,171,0,10,119,75,89,28,5,359,24
20201219,182,0,17,87,70,91,22,6,366,21
20201220,156,0,13,88,62,64,30,12,327,41
20201221,155,0,8,105,71,65,32,5,369,31
20201222,168,1,14,120,59,68,33,7,374,24
20201223,150,0,13,92,67,75,28,8,334,35
20201224,136,0,13,108,53,69,35,4,284,41
20201225,147,0,12,80,47,66,30,7,293,38
20201226,165,0,6,94,52,68,30,6,294,36
20201227,133,0,10,102,67,69,32,7,305,33
20201228,182,2,13,116,75,77,31,7,376,48
20201229,162,0,10,110,49,55,23,0,326,37
20201230,136,2,13,86,54,75,23,9,272,32
20201231,162,0,10,109,60,85,25,5,329,34
20210101,151,1,3,94,62,50,25,10,303,26
20210102,125,0,12,88,53,74,24,10,344,27
20210103,101,1,16,98,47,55,36,4,261,30
20210104,125,0,6,102,57,70,27,3,375,44
20210105,152,1,7,95,61,45,22,8,307,22
20210106,128,1,7,101,60,69,21,7,370,46
20210107,121,4,17,97,60,66,22,14,403,24
20210108,137,1,12,105,77,63,18,8,341,30
20210109,122,0,16,96,63,90,21,5,331,28
20210110,117,0,13,86,77,71,29,8,319,35
20210111,132,3,9,129,66,75,29,14,355,30
20210112,126,0,11,100,72,92,26,5,405,32
20210113,127,1,7,94,60,63,28,7,387,23
20210114,114,0,12,108,57,73,24,10,372,31
20210115,138,2,12,119,69,70,24,8,347,42
20210116,122,1,10,96,57,72,22,8,348,25
20210117,117,0,12,93,66,73,24,8,316,35
20210118,137,0,14,118,61,56,34,5,391,38
20210119,129,0,9,86,62,65,28,7,355,25
20210120,112,0,11,138,82,76,32,7,399,31
20210121,122,1,15,121,74,77,21,7,347,25
20210122,141,1,8,112,75,68,33,7,356,41
20210123,112,0,14,109,50,65,22,8,343,32
20210124,118,1,13,113,56,68,25,4,338,35
20210125,147,0,12,133,79,71,28,8,422,40
20210126,116,2,15,95,59,70,33,13,326,54
20210127,118,2,15,105,48,59,32,12,369,25
20210128,115,1,8,154,56,79,27,5,350,32
20210129,156,2,12,109,67,69,32,3,330,29
20210130,147,0,17,116,72,76,23,8,350,40
20210131,109,0,5,85,72,68,18,2,301,35
20210201,150,0,15,132,60,86,26,9,388,40
20210202,151,1,12,107,58,65,28,8,338,32
20210203,130,0,19,110,55,86,23,10,319,41
20210204,114,0,14,119,54,84,26,9,416,19
20210205,142,0,14,117,67,93,22,7,391,28
20210206,141,1,20,109,64,74,27,8,376,34
20210207,105,1,14,116,67,72,33,6,329,35
20210208,117,1,10,106,82,85,20,9,375,37
20210209,137,1,10,117,70,61,19,12,437,41
20210210,141,1,10,133,68,104,30,11,358,46
20210211,125,0,12,93,46,80,32,12,344,25
20210212,140,1,12,83,57,56,27,7,300,30
20210213,146,0,15,125,61,87,25,6,357,31
20210214,144,0,18,118,57,67,40,13,336,36
20210215,145,1,11,145,73,62,29,10,408,39
20210216,140,0,17,106,60,73,26,8,381,27
20210217,125,0,15,114,57,65,28,6,304,37
20210218,158,0,16,132,67,77,20,5,338,28
20210219,132,1,18,99,74,73,35,7,381,37
20210220,143,0,10,137,65,83,30,6,350,43
20210221,144,0,12,114,93,80,20,13,325,38
20210222,154,0,15,126,86,71,28,11,371,38
20210223,154,0,15,129,71,75,32,5,314,24
20210224,132,2,9,118,70,71,35,10,347,31
20210225,166,0,11,113,65,71,17,17,332,36
20210226,152,1,12,102,64,92,40,10,367,33
20210227,149,0,9,83,57,102,18,8,356,34
20210228,116,2,16,103,56,86,23,9,356,26
20210301,117,0,9,118,66,69,20,7,357,38
20210302,134,1,16,151,56,60,23,9,364,40
20210303,126,2,4,116,70,76,28,9,380,34
20210304,142,2,10,111,66,72,21,8,364,42
20210305,159,1,12,131,84,90,43,1,375,30
20210306,134,0,11,92,57,92,25,6,397,39
20210307,123,0,17,95,53,72,21,8,324,37
20210308,122,1,12,139,81,76,24,12,397,32
20210309,136,2,17,100,59,61,25,3,338,33
20210310,129,1,17,121,60,90,24,8,341,31
20210311,127,0,13,119,84,80,26,3,332,40
20210312,125,2,15,129,58,99,18,8,331,37
20210313,128,0,10,105,58,93,18,10,357,39
20210314,93,2,13,107,46,75,31,8,368,35
20210315,153,0,15,134,75,59,30,5,360,51
20210316,138,0,14,108,59,84,25,8,358,38
20210317,115,1,15,112,61,73,27,3,317,30
20210318,109,0,12,111,72,71,36,7,379,37
20210319,150,0,17,141,59,103,20,7,386,42
20210320,134,0,19,112,49,88,25,6,318,26
20210321,98,0,10,93,55,81,31,6,346,30
20210322,112,1,10,122,77,81,20,8,420,37
20210323,130,1,12,128,53,70,24,10,351,40
20210324,108,1,9,108,69,71,27,5,332,27
20210325,122,0,13,132,65,94,38,7,373,34
20210326,144,1,20,138,59,91,31,7,384,27
20210327,120,2,16,121,49,60,29,6,385,38
20210328,123,0,13,121,60,91,18,7,349,36
20210329,133,0,17,130,70,75,34,9,409,38
20210330,115,1,12,113,67,74,21,3,371,38
20210331,123,0,6,124,69,95,31,5,340,34
20210401,155,2,5,126,67,110,24,7,374,29
20210402,147,1,12,135,60,90,33,2,400,45
20210403,139,0,17,117,67,98,33,7,358,38
20210404,139,0,11,108,49,91,15,6,369,32
20210405,151,0,9,111,66,96,27,11,444,45
20210406,139,1,15,116,56,99,28,12,377,23
20210407,151,0,11,125,76,91,23,5,383,38
20210408,126,1,11,118,65,84,29,3,390,39
20210409,149,1,9,130,68,97,35,6,371,42
20210410,158,1,13,111,42,101,20,7,394,25
20210411,115,1,11,106,53,101,34,8,365,37
20210412,171,0,11,148,68,88,35,7,421,44
20210413,144,2,13,120,64,77,34,6,367,42
20210414,164,1,9,127,60,72,33,3,361,30
20210415,140,0,20,136,69,86,33,12,362,35
20210416,152,1,4,119,60,88,30,12,360,37
20210417,113,0,15,124,63,85,29,6,348,34
20210418,132,0,12,88,65,98,38,3,373,31
20210419,164,0,11,139,60,49,37,3,418,41
20210420,136,0,13,127,54,79,30,7,376,43
20210421,144,0,10,139,61,92,35,3,395,41
20210422,161,1,16,128,55,88,33,5,407,41
20210423,179,1,14,142,72,83,40,7,420,42
20210424,147,1,11,123,55,111,32,10,397,43
20210425,169,2,16,113,64,106,25,7,434,40
20210426,166,1,19,151,73,85,41,6,406,39
20210427,160,0,16,135,56,70,27,4,413,50
20210428,156,0,8,139,57,91,32,10,378,29
20210429,171,0,18,124,60,83,30,5,391,51
20210430,169,1,16,134,84,99,32,8,404,43
20210501,117,2,10,127,56,77,26,3,404,39
20210502,126,0,13,120,65,105,27,4,402,39
20210503,171,1,5,155,66,76,37,9,434,44
20210504,152,2,13,134,71,96,39,9,358,31
20210505,118,1,12,108,75,104,24,9,372,33
20210506,159,0,10,138,72,73,30,11,417,54
20210507,175,1,10,126,71,96,32,10,419,36
20210508,139,1,8,127,64,88,36,12,354,37
20210509,139,0,17,116,64,95,34,7,348,42
20210510,140,1,17,144,76,57,39,10,413,43
20210511,146,0,16,156,75,95,47,12,418,31
20210512,179,1,11,141,62,78,45,9,374,36
20210513,173,0,24,119,63,85,34,7,399,44
20210514,153,0,8,148,71,80,35,9,457,46
20210515,174,0,11,110,66,123,32,11,415,34
20210516,144,0,10,119,70,81,39,4,382,33
20210517,158,0,15,173,82,96,36,10,458,55
20210518,215,0,15,119,63,91,29,9,421,37
20210519,174,0,13,108,67,94,43,4,445,31
20210520,181,0,18,122,81,83,34,8,417,45
20210521,173,0,11,137,62,103,34,9,419,42
20210522,160,1,13,133,56,114,27,12,438,63
20210523,135,0,13,117,62,111,23,11,375,37
20210524,150,0,19,161,76,79,39,10,473,53
20210525,143,1,14,127,78,84,34,9,404,55
20210526,167,0,17,144,57,107,42,16,397,51
20210527,148,0,14,137,90,82,40,6,392,49
20210528,181,1,11,153,68,97,44,9,404,42
20210529,150,1,17,137,51,123,29,9,381,32
20210530,170,0,11,146,54,107,49,3,393,35
20210531,184,0,14,159,73,97,44,8,434,58
20210601,187,2,13,176,80,90,36,10,412,55
20210602,155,2,16,202,84,91,47,12,455,51
20210603,179,1,19,163,59,98,42,6,418,49
20210604,159,0,18,132,59,92,40,11,471,50
20210605,173,1,19,141,60,115,36,8,436,53
20210606,196,1,10,145,71,107,39,7,427,49
20210607,191,1,16,176,88,103,35,12,429,64
20210608,196,1,14,137,77,98,54,5,467,45
20210609,187,1,18,163,69,88,60,7,469,41
20210610,235,2,11,164,72,88,43,13,452,43
20210611,185,1,16,150,78,108,47,13,429,55
20210612,197,0,12,153,66,102,39,7,450,59
20210613,170,3,19,158,84,100,56,3,464,46
20210614,215,1,22,179,79,87,63,5,467,72
20210615,177,1,15,145,66,94,60,4,489,64
20210616,161,1,12,133,72,82,53,7,368,45
20210617,203,0,13,161,78,76,51,11,472,65
20210618,167,3,16,152,77,99,58,10,492,60
20210619,172,0,22,150,57,110,50,8,516,40
20210620,158,0,20,143,82,112,40,8,471,36
20210621,204,1,17,158,92,80,47,6,488,58
20210622,178,1,9,166,66,96,53,7,448,44
20210623,183,1,19,154,86,70,33,12,430,44
20210624,161,1,27,139,78,103,47,11,454,44
20210625,190,1,13,147,76,98,44,6,508,45
20210626,182,0,10,129,60,109,42,5,442,43
20210627,149,0,10,113,61,91,41,7,472,41
20210628,165,2,12,167,86,83,38,8,508,46
20210629,154,0,18,144,61,96,44,7,405,55
20210630,192,0,11,132,66,101,50,10,429,43
20210701,189,1,17,158,79,85,48,6,442,50
20210702,190,1,11,152,65,110,61,9,463,49
20210703,157,3,17,128,63,114,48,7,467,34
20210704,155,1,11,140,68,89,21,8,412,44
20210705,183,1,16,160,69,98,42,15,462,45
20210706,198,0,22,158,51,92,48,9,434,46
20210707,219,1,12,128,74,89,44,9,393,65
20210708,214,1,14,141,74,76,48,8,401,40
20210709,243,0,11,136,75,111,52,6,417,49
20210710,193,0,15,128,59,117,39,10,450,48
20210711,181,0,14,142,51,97,60,8,393,50
20210712,218,1,20,149,77,78,50,3,430,54
20210713,237,0,10,166,71,72,62,9,374,55
20210714,277,1,10,130,68,73,58,9,418,46
20210715,263,0,13,143,66,61,66,9,420,46
20210716,253,2,13,163,55,73,61,9,427,55
20210717,226,0,12,127,69,112,51,9,411,56
20210718,176,1,6,115,55,87,58,6,384,45
20210719,247,1,7,143,84,89,65,6,440,49
20210720,219,1,13,165,66,89,52,7,428,53
20210721,233,2,3,146,76,94,58,4,371,39
20210722,248,3,16,164,63,104,52,7,395,43
20210723,234,0,15,137,75,96,81,7,421,52
20210724,184,1,16,128,58,88,78,4,432,45
20210725,179,0,22,124,82,79,70,7,408,41
20210726,250,1,14,149,86,80,68,8,475,54
20210727,223,1,20,153,98,91,77,8,448,52
20210728,255,0,17,148,103,83,62,7,390,65
20210729,224,0,12,136,102,92,51,5,368,59
20210730,245,2,10,141,91,95,50,8,363,54
20210731,220,0,15,146,74,106,41,6,451,53
20210801,186,0,13,129,92,98,60,3,371,38
